imdb,year,title,test,budget,domestic_gross,foreign_gross
tt0816442,2013,The Book Thief,ok,19000000,21345525,40700000
tt1911644,2013,The Call,ok,13000000,51872378,7066390
tt1457767,2013,The Conjuring,ok,20000000,137400141,180600000
tt2193215,2013,The Counselor,ok,25000000,16973715,53400000
tt0481499,2013,The Croods,men-disagree,135000000,187168425,385900000
tt2404311,2013,The Family,men,30000000,36918811,14159730
tt1837703,2013,The Fifth Estate,notalk,26000000,3254172,2900000
tt2005374,2013,The Frozen Ground,nowomen-disagree,19200000,NA,NA
tt1343092,2013,The Great Gatsby,dubious,190000000,144840419,206200000
tt1951261,2013,The Hangover part 3,men,103000000,112200072,249800000
tt2404463,2013,The Heat,ok,43000000,159581587,71200000
tt1170358,2013,The Hobbit: The Desolation of Smaug,notalk-disagree,250000000,257397516,680000000
tt1517260,2013,The Host,dubious-disagree,50000000,26623701,31564683
tt1951264,2013,The Hunger Games: Catching Fire,ok,130000000,424088260,433000000
tt0790628,2013,The Incredible Burt Wonderstone,notalk,32000000,22537881,1718076
tt2234155,2013,The Internship,notalk,58000000,44672764,49000000
tt2034139,2013,The Last Exorcism Part II,ok,4000000,15179303,3361933
tt1210819,2013,The Lone Ranger,notalk,275000000,89289910,170700000
tt1538403,2013,The Mortal Instruments: City of Bones,ok-disagree,60000000,31165421,44800146
tt2184339,2013,The Purge,dubious,3000000,64473115,26627426
tt2017020,2013,The Smurfs 2,ok,110000000,71017784,277528057
tt1758795,2013,The To Do List,ok,1500000,3491669,0
tt1727388,2013,The Way Way Back,ok-disagree,5000000,21502690,4658753
tt0993846,2013,The Wolf of Wall Street,notalk-disagree,100000000,115702857,250000000
tt1430132,2013,The Wolverine,ok,115000000,132556852,283900000
tt1213663,2013,The World's End,men-disagree,20000000,26004851,20573970
tt1245492,2013,This Is the End,notalk,32000000,101470202,24824062
tt1981115,2013,Thor: The Dark World,dubious-disagree,170000000,204674790,427000000
tt1924429,2013,Trance,nowomen,16000000,2322593,20271459
tt1860353,2013,Turbo,dubious-disagree,135000000,83028130,200800000
tt1588173,2013,Warm Bodies,men-disagree,30000000,66380662,50262948
tt1723121,2013,We're the Millers,ok,37000000,150394119,119606000
tt2334879,2013,White House Down,men,150000000,73103784,132336603
tt0816711,2013,World War Z,dubious-disagree,190000000,202359711,337200000
tt1611224,2012,Abraham Lincoln: Vampire Hunter,dubious-disagree,68488103,38068365,78735953
tt1591479,2012,Act of Valor,nowomen,12175663,71037735,12666938
tt1602620,2012,Amour,dubious-disagree,9841994,6837603,19457485
tt1781769,2012,Anna Karenina,men-disagree,49717290,13003980,58767027
tt1024648,2012,Argo,ok-disagree,45151416,138016721,86523498
tt1440129,2012,Battleship,notalk-disagree,212059460,66190353,242404580
tt2125435,2012,Beasts of the Southern Wild,dubious-disagree,1826349,12983057,8405583
tt1758575,2012,Blue Like Jazz,ok,1217566,603728,0
tt1217209,2012,Brave,ok,187708135,240755653,321969523
tt1308729,2012,Bullet to the Head,nowomen,55805121,9628746,4131290
tt1991245,2012,Chernobyl Diaries,notalk,1014639,18384886,20567109
tt1706593,2012,Chronicle,notalk,12175663,65520463,63414910
tt1371111,2012,Cloud Atlas,ok,103493134,27505098,100358197
tt1524137,2012,Contraband,ok,25365964,67501874,32345516
tt1853728,2012,Django Unchained,notalk-disagree,101463857,165188672,266411877
tt1907668,2012,Flight,dubious-disagree,31453796,95145068,68995423
tt1142977,2012,Frankenweenie,nowomen-disagree,39570904,35804351,46534368
tt2243973,2012,Hannibal,ok,88273555,167508980,187716266
tt0837562,2012,Hotel Transylvania,ok,86244278,150484138,213996371
tt0790724,2012,Jack Reacher,notalk,60878314,81242857,139309875
tt2106476,2012,Jagten,men,3500503,697244,0
tt0401729,2012,John Carter,ok-disagree,279025606,74128153,212789413
tt1764234,2012,Killing Them Softly,nowomen,15219578,15164322,22619574
tt1707386,2012,Les Miserables,ok-disagree,65951507,150988132,297505343
tt0454876,2012,Life of Pi,notalk-disagree,121756628,126816653,490070427
tt0443272,2012,Lincoln,ok-disagree,65951507,184875236,92122066
tt1277953,2012,Madagascar 3: Europe's Most Wanted,men-disagree,147122592,219559143,538295984
tt1409024,2012,Men in Black III,notalk,218147292,181641463,452326176
tt1667353,2012,Mirror Mirror,dubious,86244278,65885725,105194504
tt1748122,2012,Moonrise Kingdom,ok,16234217,46178703,18770814
tt2094064,2012,Much Ado About Nothing,dubious-disagree,8117109,22879428,0
tt1598828,2012,One for the Money,ok,42614820,26801198,9925898
tt2109184,2012,Paranormal Activity 4,ok,5073193,54689359,90194780
tt1623288,2012,ParaNorman,notalk-disagree,60878314,56822855,52919449
tt1047540,2012,Parental Guidance,ok,25365964,78398378,43529351
tt1716777,2012,People Like Us,ok,16234217,12613776,0
tt1981677,2012,Pitch Perfect,ok,17248856,65952616,51066844
tt1547234,2012,Premium Rush,ok,35512350,20572249,11280503
tt1234719,2012,Red Dawn,notalk-disagree,65951507,45462690,3406514
tt0485985,2012,Red Tails,men,58849037,50606496,496281
tt1446192,2012,Rise of the Guardians,notalk-disagree,147122592,104926572,206466919
tt1336608,2012,Rock of Ages,ok,71024700,39082470,11769808
tt1656190,2012,Safe,notalk-disagree,33483073,17393015,24709628
tt1862079,2012,Safety Not Guaranteed,ok-disagree,760979,4069672,408119
tt1931533,2012,Seven Psychopaths,notalk-disagree,13697621,15243980,8592232
tt0938330,2012,Silent Hill: Revelation 3D,ok,20292771,17786836,30859603
tt1045658,2012,Silver Linings Playbook,ok,21307410,134026609,96618389
tt1922777,2012,Sinister,men,3043916,48790826,40221190
tt1074638,2012,Skyfall,dubious-disagree,202927713,308815675,816108097
tt1735898,2012,Snow White and the Huntsman,ok,172488556,157407735,249372230
tt1876451,2012,Sparkle,ok,10146386,24754613,266702
tt2101441,2012,Spring Breakers,ok,5073193,14331045,16787444
tt1800741,2012,Step Up Revolution,ok,33483073,35588120,132387618
tt1874789,2012,Supporting Characters,men,60878,4989,0
tt1637725,2012,Ted,men-disagree,50731928,221866693,335620961
tt1232200,2012,That's My Boy,notalk,68488103,37471707,21436551
tt0948470,2012,The Amazing Spider-Man,men-disagree,223220484,265866416,503118277
tt0848228,2012,The Avengers,notalk,60878314,23727745,25568892
tt1345836,2012,The Dark Knight Rises,notalk-disagree,279025606,454699213,640444777
tt1560985,2012,The Devil Inside,ok-disagree,1014639,54041622,49206465
tt1645170,2012,The Dictator,notalk,65951507,60523416,121481975
tt1764651,2012,The Expendables 2,ok-disagree,101463857,86272883,230273302
tt1601913,2012,The Grey,nowomen-disagree,25365964,52335195,33239113
tt0903624,2012,The Hobbit: An Unexpected Journey,nowomen-disagree,253659641,307439106,722118267
tt1392170,2012,The Hunger Games,ok-disagree,81171085,413983383,280547564
tt1649419,2012,The Impossible,men,40585543,19298306,152774863
tt1258972,2012,The Man with the Iron Fists,notalk,15219578,15862951,6443974
tt1560747,2012,The Master,notalk-disagree,38048946,16484994,8999419
tt1430626,2012,The Pirates! Band of Misfits,notalk,55805121,31505670,93351917
tt1817273,2012,The Place Beyond the Pines,notalk-disagree,15219578,21716836,25982793
tt1673434,2012,The Twilight Saga: Breaking Dawn - Part 2,dubious-disagree,138193773,296603952,548245033
tt1606389,2012,The Vow,ok,8866236,126844056,73666950
tt1298649,2012,The Watch,men,55805121,34855879,33483072
tt1596365,2012,The Woman in Black,notalk,15219578,55128651,75714976
tt1840417,2012,The Words,notalk,6087831,11663106,647076
tt1621045,2012,Think Like a Man,ok,12175663,92887325,4675372
tt1859650,2012,To Rome With Love,men-disagree,21814729,16928587,58523769
tt1386703,2012,Total Recall,notalk-disagree,126829821,59739858,141783591
tt1496025,2012,Underworld: Awakening,ok,71024700,63233330,99494332
tt1655460,2012,Wanderlust,ok,32975753,17541229,6972372
tt1586265,2012,What to Expect When You're Expecting,ok,38048946,41754612,40078224
tt1870529,2012,Won't Back Down,ok,19278133,5388293,122702
tt1646987,2012,Wrath of the Titans,notalk-disagree,152195785,84894893,221495599
tt1772341,2012,Wreck-It Ralph,ok-disagree,167415363,192185407,288157352
tt1790885,2012,Zero Dark Thirty,ok-disagree,53268525,97121930,42614820
tt1622547,2011,30 Minutes or Less,notalk,28999342,38376408,4052442
tt1306980,2011,50/50,men-disagree,8285526,36265871,6544133
tt1571222,2011,A Dangerous Method,dubious,20713816,5905595,9430428
tt1422136,2011,A Lonely Place to Die,ok,4142763,NA,NA
tt1268799,2011,A Very Harold & Kumar 3D Christmas,notalk,20713816,36312387,1247711
tt1549572,2011,Another Earth,ok,181246,1368348,476418
tt1772240,2011,Apollo 18,nowomen,5178454,18318189,9146072
tt1430607,2011,Arthur Christmas,notalk,88033717,48120751,104772738
tt1478964,2011,Attack the Block,ok-disagree,13463980,1060729,4538652
tt1284575,2011,Bad Teacher,ok-disagree,19678125,103872387,120263802
tt1217613,2011,Battle: Los Angeles,notalk-disagree,72498355,86534481,133037352
tt1152398,2011,Beastly,notalk,17606743,28860115,10525372
tt1629705,2011,Blackthorn,notalk,4660609,207716,1086654
tt1478338,2011,Bridesmaids,ok-disagree,33659951,175142277,124444888
tt0458339,2011,Captain America: The First Avenger,notalk-disagree,144996710,182959443,200836260
tt1216475,2011,Cars 2,men,207138157,198283907,381863862
tt1684628,2011,Circumstance,ok,932122,470329,0
tt1657507,2011,Colombiana,notalk,41427631,37974487,36282553
tt0816462,2011,Conan the Barbarian,dubious-disagree,20713816,39629760,42307969
tt1598778,2011,Contagion,ok-disagree,62141447,78358394,64102525
tt1372686,2011,Coriolanus,men,10356908,776396,310708
tt0409847,2011,Cowboys & Aliens,notalk,168817598,103818215,78370478
tt1701990,2011,Detention,ok,10356908,NA,NA
tt1650043,2011,Diary of a Wimpy Kid: Rodrick Rules,notalk,18642434,54579387,21746046
tt1564349,2011,Dolphin Tale,men,38320559,74866751,24630741
tt1462041,2011,Dream House,ok,51784539,22062637,19294920
tt0780504,2011,Drive,dubious-disagree,15535362,36312033,44528630
tt1596343,2011,Fast Five,ok-disagree,129461348,217326947,434993868
tt1622979,2011,Final Destination 5,men,41427631,44107629,119415148
tt1068242,2011,Footloose,ok,24856579,53651623,12024402
tt1438176,2011,Fright Night,dubious,31070724,18951742,23015121
tt1133985,2011,Green Lantern,notalk-disagree,207138157,120762760,118690164
tt0480687,2011,Hall Pass,men,37284868,46668987,40011357
tt0993842,2011,Hanna,ok,31070724,41695999,25979863
tt1201607,2011,Harry Potter and the Deathly Hallows: Part 2,notalk-disagree,129461348,394609809,980902744
tt1506999,2011,Haywire,nowomen-disagree,23820888,19618465,3349211
tt1403177,2011,Hesher,notalk,7249836,396614,0
tt1562568,2011,Higher Ground,ok,1864243,871074,18773
tt1640459,2011,Hobo with a Shotgun,nowomen,3107072,728476,136277
tt1411704,2011,Hop,men,65248520,111942955,79581473
tt1499658,2011,Horrible Bosses,ok,36249178,121733603,100462006
tt0970179,2011,Hugo,dubious,186424342,76500789,115136407
tt1464540,2011,I Am Number Four,notalk,51784539,57067015,94126023
tt1253864,2011,Immortals,men,77676809,86484341,132628924
tt1637688,2011,In Time,notalk,36249178,38894261,137240145
tt1606618,2011,Iris,ok,5696299,5779651,9916265
tt1410063,2011,Jin ling shi san chai,ok,103569079,322549,96743877
tt1634122,2011,Johnny English Reborn,dubious,46606085,8602417,161809793
tt1640484,2011,Jumping the Broom,ok,7249836,38626496,894015
tt1564367,2011,Just Go with It,dubious,82855263,106705263,115942315
tt1788391,2011,Kill List,dubious,828553,30100,448603
tt1448755,2011,Killer Elite,nowomen,72498355,26021717,33817499
tt1302011,2011,Kung Fu Panda 2,ok,155353618,171146932,517419190
tt1508675,2011,Le Havre,dubious,5696299,633541,13327774
tt1758692,2011,Like Crazy,ok-disagree,258923,3516575,348094
tt1219289,2011,Limitless,notalk,27963651,82077930,93719660
tt0466893,2011,Margaret,ok,14499671,48869,0
tt1615147,2011,Margin Call,notalk-disagree,3521349,5544660,12965419
tt1305591,2011,Mars Needs Moms,dubious,155353618,22156282,18805038
tt1441326,2011,Martha Marcy May Marlene,ok,1035691,3087434,569630
tt1527186,2011,Melancholia,ok,9735493,3139021,15549059
tt1605783,2011,Midnight in Paris,ok,31070724,58844493,101497697
tt1229238,2011,Mission: Impossible - Ghost Protocol,notalk-disagree,150175164,216871479,502636613
tt1210166,2011,Moneyball,notalk,51784539,78303911,36838364
tt1396218,2011,Mr. Popper's Penguins,notalk,56962993,70659436,125732862
tt1598822,2011,New Year's Eve,ok,26927960,56491379,92299998
tt1411238,2011,No Strings Attached,ok,25892270,73184210,81369935
tt1720182,2011,October Baby,ok,1035691,5547001,0
tt1637706,2011,Our Idiot Brother,ok,5178454,25700491,1083766
tt1778304,2011,Paranormal Activity 3,ok,5178454,107741677,106687582
tt1092026,2011,Paul,ok,41427631,38748242,65007068
tt1298650,2011,Pirates of the Caribbean: On Stranger Tides,notalk,258922697,249667634,831245426
tt0822847,2011,Priest,notalk-disagree,62141447,30176535,56981014
tt0448694,2011,Puss in Boots,notalk,134639802,154587729,420207688
tt1192628,2011,Rango,notalk-disagree,139818256,127656741,126610084
tt0433035,2011,Real Steel,notalk,113925987,88513562,215189617
tt1486185,2011,Red Riding Hood,ok,43499013,39006354,54516982
tt0873886,2011,Red State,ok,4142763,1103455,0
tt1498569,2011,Restless,ok,8285526,169597,2749388
tt1436562,2011,Rio,notalk,93212171,148745713,356174061
tt1318514,2011,Rise of the Planet of the Apes,notalk,96319243,183068895,317024950
tt1723811,2011,Shame,notalk,6731990,4145138,7021357
tt1541995,2011,Snow Flower and the Secret Fan,ok,6214145,1396324,10356907
tt1596346,2011,Soul Surfer,ok,18642434,45418587,3423194
tt0945513,2011,Source Code,notalk-disagree,33142105,56664949,88775554
tt0999913,2011,Straw Dogs,ok,25892270,10692928,962551
tt0978764,2011,Sucker Punch,ok-disagree,77676809,37691379,55270558
tt1650062,2011,Super 8,ok-disagree,51784539,131537058,137841959
tt1675192,2011,Take Shelter,ok,4919531,1790661,1449967
tt1385826,2011,The Adjustment Bureau,dubious-disagree,51991677,64726164,67628389
tt0983193,2011,The Adventures of Tintin,notalk,134639802,80361144,306980945
tt1655442,2011,The Artist,notalk-disagree,16571053,46261299,86572996
tt1412386,2011,The Best Exotic Marigold Hotel,ok,10356908,48039108,91498835
tt1259521,2011,The Cabin in the Woods,dubious-disagree,31070724,43574905,29719010
tt1093357,2011,The Darkest Hour,ok,36042039,22208829,42865399
tt1535616,2011,The Divide,ok,3107072,18642,0
tt1235170,2011,The Future,ok,1035691,588958,0
tt1568346,2011,The Girl with the Dragon Tattoo,notalk-disagree,93212171,106174662,135317605
tt0990407,2011,The Green Hornet,notalk,113925987,102305579,133814469
tt1540133,2011,The Guard,notalk,6214145,5551069,10962636
tt1454029,2011,The Help,ok,25892270,175762513,44963912
tt1007029,2011,The Iron Lady,ok,14499671,31028712,88688965
tt1189340,2011,The Lincoln Lawyer,notalk,41427631,60079594,30175769
tt0472399,2011,The Mechanic,nowomen,44016858,30160867,48911425
tt1204342,2011,The Muppets,notalk-disagree,46606085,91789051,74928086
tt1161864,2011,The Rite,dubious-disagree,38320559,34227129,65248520
tt1265990,2011,The Roommate,ok,16571053,38631377,3311470
tt0472181,2011,The Smurfs,ok,113925987,147704169,435458670
tt1509767,2011,The Three Musketeers,men,93212171,21105217,123765049
tt0478304,2011,The Tree of Life,nowomen-disagree,36249178,13780555,50748848
tt1324999,2011,The Twilight Saga: Breaking Dawn - Part 1,ok,132050575,291326492,443950434
tt0800369,2011,Thor,ok-disagree,155353618,187491749,277871689
tt1340800,2011,Tinker Tailor Soldier Spy,notalk,21749507,25011304,59348622
tt0471042,2011,Tower Heist,notalk,88033717,80832113,78115717
tt1399103,2011,Transformers: Dark of the Moon,ok-disagree,201959703,364967639,798935531
tt1568911,2011,War Horse,notalk-disagree,72498355,82734459,79677940
tt1291584,2011,Warrior,notalk,25892270,14144548,10935103
tt1389137,2011,We Bought a Zoo,men-disagree,51784539,78323650,44845411
tt1714210,2011,Weekend,notalk,196781,501887,1132003
tt0770703,2011,What's Your Number,ok,20713816,14511151,17296036
tt1449283,2011,Winnie the Pooh,nowomen,31070724,27645535,24289808
tt1270798,2011,X-Men: First Class,ok-disagree,165710526,151633733,216459374
tt1625346,2011,Young Adult,ok,12428289,16893744,6668590
tt1742336,2011,Your Sister's Sister,ok,124283,1654502,1546397
tt1542344,2010,127 Hours,dubious-disagree,19228173,19586277,45293030
tt1014759,2010,Alice in Wonderland,ok,213646368,356993585,737293617
tt1313092,2010,Animal Kingdom,notalk,4486574,1115276,7514630
tt1431181,2010,Another Year,ok,8545855,3424437,16343947
tt1423894,2010,Barney's Version,ok,32046955,8014473,1434652
tt1532503,2010,Beginners,notalk,3418342,6186017,6167301
tt1164999,2010,Biutiful,notalk,37388114,5449304,21364637
tt0947798,2010,Black Swan,ok-disagree,13887014,114252393,239617255
tt1120985,2010,Blue Valentine,men-disagree,1068232,10402326,7294259
tt1126591,2010,Burlesque,ok,58752751,42131764,53643123
tt1194417,2010,Casino Jack,notalk-disagree,13352898,2179053,43798
tt1020558,2010,Centurion,notalk,16023478,132001,6943507
tt1438254,2010,Charlie St. Cloud,notalk-disagree,47002201,33335524,18450309
tt0800320,2010,Clash of the Titans,dubious,133528980,174351340,352516508
tt1244754,2010,Conviction,ok,13352898,7261515,3563468
tt1385867,2010,Cop Out,notalk,39524578,47937418,11787328
tt1555064,2010,Country Strong,ok,16023478,21598495,355246
tt1336617,2010,Cyrus,notalk,7477623,7978555,2746371
tt1279935,2010,Date Night,ok,58752751,105446665,57211965
tt0989757,2010,Dear John,nowomen,26705796,85474402,33486470
tt1323594,2010,Despicable Me,ok-disagree,73707997,268675247,311903453
tt1314655,2010,Devil,ok-disagree,10682318,35977680,31699202
tt1196141,2010,Diary of a Wimpy Kid,ok,16023478,68370710,13834335
tt0427152,2010,Dinner for Schmucks,notalk,73707997,78009058,14709729
tt1270761,2010,Don't Be Afraid of the Dark,ok,26705796,25687431,8016403
tt1231583,2010,Due Date,notalk,69435070,107399007,118787381
tt1013860,2010,Dylan Dog: Dead of Night,nowomen,21364637,1267498,5238778
tt1282140,2010,Easy A,ok-disagree,8545855,62386303,19013734
tt0879870,2010,"Eat, Pray, Love",ok-disagree,64093910,86071723,133820448
tt1226273,2010,Edge of Darkness,notalk,64093910,46269276,40480440
tt1531663,2010,Everything Must Go,notalk,5341159,2897185,0
tt0977855,2010,Fair Game,ok,53411592,12281992,15596185
tt1433108,2010,Faster,nowomen,12818782,24825729,13265974
tt1405500,2010,For Colored Girls,ok,22432869,40304065,307837
tt1323045,2010,Frozen,notalk,160234776,419868647,653223771
tt1226229,2010,Get Him To The Greek,notalk,42729274,65326144,32369934
tt1322312,2010,Going the Distance,ok,34183419,19019119,23699649
tt0947810,2010,Green Zone,nowomen-disagree,106823184,37919386,66257809
tt1375670,2010,Grown Ups,ok-disagree,80117388,173054825,117742911
tt1376195,2010,Gunless,men,10575495,489308,0
tt0926084,2010,Harry Potter and the Deathly Hallows: Part 1,ok-disagree,133528980,316178791,705477834
tt1231587,2010,Hot Tub Time Machine,notalk,38456346,53699864,13823026
tt0892769,2010,How to Train Your Dragon,ok,176258254,232427199,296209751
tt1226236,2010,I Am Love,ok,10682318,5346997,10817713
tt1375666,2010,Inception,dubious-disagree,170917095,312539208,576853976
tt1591095,2010,Insidious,ok-disagree,1602348,57694294,48990966
tt1228705,2010,Iron Man 2,ok,181599413,333751233,332356836
tt0804497,2010,It's Kind of a Funny Story,notalk,8545855,6797830,282759
tt1250777,2010,Kick-Ass,notalk-disagree,29910492,51351297,52830721
tt1013743,2010,Knight and Day,men-disagree,124983125,81637519,198390963
tt1038686,2010,Legion,ok,27774028,42908822,30643317
tt1228987,2010,Let Me In,notalk-disagree,21364637,12962924,17236416
tt0892318,2010,Letters to Juliet,dubious-disagree,32046955,56650955,27884621
tt0758752,2010,Love and Other Drugs,men-disagree,32046955,34575465,75152933
tt0985694,2010,Machete,ok,13352898,28408179,18948629
tt1371155,2010,Made In Dagenham,ok,8545855,1170108,15541520
tt1518812,2010,Meek's Cutoff,men,2136464,1044487,953030
tt1001526,2010,Megamind,nowomen-disagree,138870139,158542540,185307625
tt1470827,2010,Monsters,nowomen-disagree,534116,253492,5771047
tt1126618,2010,Morning Glory,ok,42729274,33127720,31009960
tt1415283,2010,Nanny McPhee and the Big Bang,ok,37388114,31189851,73283079
tt1334260,2010,Never Let Me Go,ok,16023478,2600773,9694054
tt1536044,2010,Paranormal Activity 2,ok,3204696,90535754,99088251
tt0814255,2010,Percy Jackson & the Olympians: The Lightning Thief,dubious-disagree,101482025,94825128,147094271
tt0878835,2010,Please Give,ok,3204696,4308792,573218
tt1424381,2010,Predators,nowomen,42729274,55548791,80367035
tt0473075,2010,Prince of Persia: The Sands of Time,nowomen,213646368,96952376,260969039
tt0935075,2010,Rabbit Hole,ok,5341159,2381151,3856887
tt0493949,2010,Ramona and Beezus,ok,16023478,27952425,1391499
tt1245526,2010,Red,men-disagree,64093910,96546967,113296168
tt1403981,2010,Remember Me,ok,17091709,20369301,39992336
tt1053424,2010,Repo Men,ok,34183419,14893296,4543437
tt0955308,2010,Robin Hood,dubious-disagree,224328687,112684730,231776248
tt0944835,2010,Salt,ok-disagree,138870139,126383971,189506570
tt0446029,2010,Scott Pilgrim vs. the World,ok,90799707,33768214,17602799
tt1028576,2010,Secretariat,ok,37388114,63772921,722909
tt1261945,2010,Sex and the city 2,ok,101482025,101853441,212933949
tt0892791,2010,Shrek Forever After,notalk,176258254,255026238,552818402
tt1130884,2010,Shutter Island,notalk,85458547,136747492,180336912
tt1564585,2010,Skyline,dubious,10682318,22877632,61185133
tt1421051,2010,Somewhere,dubious-disagree,7477623,1907483,13459721
tt1440292,2010,Submarine,notalk,2029641,499507,4395064
tt1512235,2010,Super,notalk,2670580,350077,203654
tt1135084,2010,Takers,notalk,34183419,61684749,13718818
tt0398286,2010,Tangled,ok,277740279,214524387,412081115
tt0429493,2010,The A-Team,nowomen-disagree,117505503,82491105,106843557
tt1212436,2010,The Back-up Plan,ok,37388114,40048019,40369733
tt0980970,2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,ok-disagree,165575935,111509464,335211152
tt0968264,2010,The Conspirator,dubious,26705796,12325477,4667326
tt0455407,2010,The Crazies,ok,20296405,41793064,16912835
tt1226753,2010,The Debt,ok,21364637,33304850,16479084
tt1320253,2010,The Expendables,notalk,87595011,110101079,176471527
tt0964517,2010,The Fighter,men,11750550,100004670,38077529
tt1139328,2010,The Ghost Writer,men,48070433,16601978,53401916
tt0775489,2010,The Illusionist,nowomen,17625825,42588953,46920396
tt1155076,2010,The Karate Kid,dubious-disagree,42729274,188640789,194952311
tt0842926,2010,The Kids Are All Right,ok,4272927,22231363,16519248
tt0954947,2010,The Killer Inside Me,notalk,13887014,232102,3631988
tt1504320,2010,The King's Speech,ok-disagree,16023478,148267855,311949033
tt0938283,2010,The Last Airbender,notalk-disagree,160234776,140763246,200765302
tt1320244,2010,The Last Exorcism,ok,1922817,43834199,31119250
tt0480255,2010,The Losers,notalk,26705796,25201119,3335646
tt1458175,2010,The Next Three Days,ok,32046955,22591662,49253249
tt1386588,2010,The Other Guys,nowomen-disagree,106823184,127354577,55245203
tt1017451,2010,The Runaways,ok,10148202,3817511,1821292
